"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tesk2",0,NA,NA,NA,NA,NA
"Ccdc163",0,NA,NA,NA,NA,NA
"Mmachc",0,NA,NA,NA,NA,NA
"Prdx1",0,NA,NA,NA,NA,NA
"AV051173",0,NA,NA,NA,NA,NA
"Gm25137",0,NA,NA,NA,NA,NA
"Akr1a1",0,NA,NA,NA,NA,NA
"Nasp",0,NA,NA,NA,NA,NA
"Ccdc17",0,NA,NA,NA,NA,NA
"C530005A16Rik",0,NA,NA,NA,NA,NA
"Gpbp1l1",0,NA,NA,NA,NA,NA
"Tmem69",0,NA,NA,NA,NA,NA
"Ipp",0,NA,NA,NA,NA,NA
"Gm52760",0,NA,NA,NA,NA,NA
"Mast2",0,NA,NA,NA,NA,NA
"Gm18535",0,NA,NA,NA,NA,NA
"Pik3r3",0,NA,NA,NA,NA,NA
"Llph-ps1",0,NA,NA,NA,NA,NA
"1700042G07Rik",0,NA,NA,NA,NA,NA
"Tspan1",0,NA,NA,NA,NA,NA
"Pomgnt1",0,NA,NA,NA,NA,NA
"Lurap1",0,NA,NA,NA,NA,NA
"2510003B16Rik",0,NA,NA,NA,NA,NA
"Rad54l",0,NA,NA,NA,NA,NA
"Gm52704",0,NA,NA,NA,NA,NA
"Lrrc41",0,NA,NA,NA,NA,NA
"Gm12854",0,NA,NA,NA,NA,NA
"Uqcrh",0,NA,NA,NA,NA,NA
"Nsun4",0,NA,NA,NA,NA,NA
"Faah",0,NA,NA,NA,NA,NA
"Gm38492",0,NA,NA,NA,NA,NA
"Dmbx1",0,NA,NA,NA,NA,NA
"6430628N08Rik",0,NA,NA,NA,NA,NA
"Kncn",0,NA,NA,NA,NA,NA
"Mknk1",0,NA,NA,NA,NA,NA
"Mob3c",0,NA,NA,NA,NA,NA
"Atpaf1",0,NA,NA,NA,NA,NA
"Tex38",0,NA,NA,NA,NA,NA
"Efcab14",4.64552246811895,-1.09481916017167,3.17277217985145,-0.345067057485018,0.7300439584506,0.977178756916937
"Gm12848",0,NA,NA,NA,NA,NA
"Cyp4b1",0,NA,NA,NA,NA,NA
"Cyp4a32",0,NA,NA,NA,NA,NA
"Cyp4b1-ps2",0,NA,NA,NA,NA,NA
"Cyp4a31",0,NA,NA,NA,NA,NA
"Cyp4b1-ps1",0,NA,NA,NA,NA,NA
"Cyp4a10",0.192269047223276,1.03925381775987,4.0804728567969,0.254689555409925,0.798962883861082,0.977178756916937
"Cyp4a14",2.5326776948676,-1.50756803754108,1.79421526164634,-0.840238108418361,0.400774895429661,0.977178756916937
"Gm52676",0.154358237503173,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"Gm12833",0,NA,NA,NA,NA,NA
"Cyp4a30b",0,NA,NA,NA,NA,NA
"Gm12837",0,NA,NA,NA,NA,NA
"Cyp4a12b",0.192269047223276,1.03925381775987,4.0804728567969,0.254689555409925,0.798962883861082,0.977178756916937
"Cyp4a30-ps",0.768904987059546,1.88028055736961,3.2174415540299,0.584402397306806,0.558949614244361,0.977178756916937
"Gm52675",0,NA,NA,NA,NA,NA
"Cyp4a12a",0,NA,NA,NA,NA,NA
"Cyp4a29",0,NA,NA,NA,NA,NA
"Gm12834",0,NA,NA,NA,NA,NA
"Cyp4a28-ps",0,NA,NA,NA,NA,NA
"Cyp4x1os",0,NA,NA,NA,NA,NA
"Cyp4x1",0.126405235495197,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"Pdzk1ip1",0,NA,NA,NA,NA,NA
"Gm33786",0,NA,NA,NA,NA,NA
"Tal1",0,NA,NA,NA,NA,NA
"Gm52674",0,NA,NA,NA,NA,NA
"Stil",0,NA,NA,NA,NA,NA
"Cmpk1",0,NA,NA,NA,NA,NA
"Gm40229",0,NA,NA,NA,NA,NA
"Foxe3",0,NA,NA,NA,NA,NA
"Foxd2os",0,NA,NA,NA,NA,NA
"Foxd2",0,NA,NA,NA,NA,NA
"Gm23230",0,NA,NA,NA,NA,NA
"Gm12830",0,NA,NA,NA,NA,NA
"9130410C08Rik",0,NA,NA,NA,NA,NA
"Gm12829",0,NA,NA,NA,NA,NA
"Gm33655",0,NA,NA,NA,NA,NA
"Gm33710",0.543514868438467,-0.956322942327705,3.55728092292404,-0.268835372591721,0.788056371642447,0.977178756916937
"Trabd2b",0,NA,NA,NA,NA,NA
"Gm40228",0,NA,NA,NA,NA,NA
"Gm15741",0,NA,NA,NA,NA,NA
"Skint11",0,NA,NA,NA,NA,NA
"Gm12825",0,NA,NA,NA,NA,NA
"Skint5",0.154358237503173,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"Gm12813",0,NA,NA,NA,NA,NA
"Gm12818",0,NA,NA,NA,NA,NA
"Gm12816",0,NA,NA,NA,NA,NA
"Skint6",0.126405235495197,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"Gm18400",0,NA,NA,NA,NA,NA
"Skint10",0,NA,NA,NA,NA,NA
"Gm12817",0,NA,NA,NA,NA,NA
"Skint2",0,NA,NA,NA,NA,NA
"Gm24099",0,NA,NA,NA,NA,NA
"Gm12814",0,NA,NA,NA,NA,NA
"Gm12821",0,NA,NA,NA,NA,NA
"Gm12819",0,NA,NA,NA,NA,NA
"Skint9",0,NA,NA,NA,NA,NA
"Skint3",0,NA,NA,NA,NA,NA
"Skint4",0,NA,NA,NA,NA,NA
"Skint1",0,NA,NA,NA,NA,NA
"Skint7",0,NA,NA,NA,NA,NA
"Skint8",0,NA,NA,NA,NA,NA
"Slc5a9",0,NA,NA,NA,NA,NA
"Gm12960",0,NA,NA,NA,NA,NA
"Gm12961",0,NA,NA,NA,NA,NA
"Spata6",0,NA,NA,NA,NA,NA
"Gm33192",0,NA,NA,NA,NA,NA
"Bend5",0,NA,NA,NA,NA,NA
"Gm12805",0,NA,NA,NA,NA,NA
"Gm12804",0,NA,NA,NA,NA,NA
"Gm12807",0,NA,NA,NA,NA,NA
"Agbl4",0.126405235495197,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"LOC118568686",0,NA,NA,NA,NA,NA
"Elavl4",0,NA,NA,NA,NA,NA
"Gm33070",0,NA,NA,NA,NA,NA
"Dmrta2",0,NA,NA,NA,NA,NA
"Dmrta2os",0,NA,NA,NA,NA,NA
"Faf1",0,NA,NA,NA,NA,NA
"Cdkn2c",0,NA,NA,NA,NA,NA
"9630013D21Rik",0,NA,NA,NA,NA,NA
"Gm40227",0,NA,NA,NA,NA,NA
"Gm12803",0,NA,NA,NA,NA,NA
"Gm19112",0,NA,NA,NA,NA,NA
"Gm40226",0,NA,NA,NA,NA,NA
"Gm22497",0,NA,NA,NA,NA,NA
"4930522H14Rik",0,NA,NA,NA,NA,NA
"Rnf11",0,NA,NA,NA,NA,NA
"Ttc39aos1",0,NA,NA,NA,NA,NA
"Ttc39a",0,NA,NA,NA,NA,NA
"Gm12749",0,NA,NA,NA,NA,NA
"Gm52702",0,NA,NA,NA,NA,NA
"Gm52753",0,NA,NA,NA,NA,NA
"Eps15",0,NA,NA,NA,NA,NA
"Gm40225",3.27128691356521,5.24599171396991,3.60402033523496,1.45559437128645,0.145504784965948,0.977178756916937
"Calr4",0,NA,NA,NA,NA,NA
"Gm46867",0,NA,NA,NA,NA,NA
"Gm52703",0,NA,NA,NA,NA,NA
"Gm32581",0,NA,NA,NA,NA,NA
"Osbpl9",0.896753322782904,-0.927202323845944,2.78043411030533,-0.333473942219808,0.738776555980061,0.977178756916937
"Mir761",0,NA,NA,NA,NA,NA
"Nrd1",0,NA,NA,NA,NA,NA
"8030443G20Rik",0,NA,NA,NA,NA,NA
"Rab3b",0,NA,NA,NA,NA,NA
"Kti12",0.126405235495197,-0.884299533882621,4.0804728567969,-0.216714965377023,0.828430484473591,0.977178756916937
"Txndc12",0,NA,NA,NA,NA,NA
"Btf3l4",0,NA,NA,NA,NA,NA
"LOC118567349",0.476728778837643,2.46705799088811,3.99836838921376,0.617016180285786,0.537224053409615,0.977178756916937
